holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume,hour,day_of_week,is_weekend,is_rush_hour,transport_demand_level,temp_celsius,electricity_demand_level,water_service_demand_level,is_holiday
,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511.0,8,2,False,True,High,4.970000000000027,High,Low,0
,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471.0,9,2,False,True,High,9.330000000000041,Medium,Low,0
,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097.0,12,2,False,False,High,18.82000000000005,Low,Low,0
,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887.0,13,2,False,False,High,20.08000000000004,Low,Low,0
,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337.0,14,2,False,False,High,21.160000000000025,Low,Low,0
,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692.0,15,2,False,False,High,22.02000000000004,Medium,Low,0
,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137.0,16,2,False,True,High,21.980000000000018,Low,Low,0
,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623.0,18,2,False,True,Medium,20.510000000000048,Low,Low,0
,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591.0,19,2,False,False,Medium,17.5,Low,Low,0
,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898.0,20,2,False,False,Medium,15.04000000000002,Low,Low,0
,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637.0,21,2,False,False,Medium,13.950000000000045,Medium,Low,0
,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777.0,22,2,False,False,Low,13.100000000000023,Medium,Low,0
,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015.0,23,2,False,False,Low,12.110000000000014,Medium,Low,0
,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598.0,0,3,False,False,Low,11.400000000000034,Medium,Low,0
,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369.0,1,3,False,False,Low,10.32000000000005,Medium,Low,0
,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312.0,2,3,False,False,Low,10.020000000000039,Medium,Low,0
,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367.0,3,3,False,False,Low,8.890000000000043,Medium,Low,0
,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835.0,4,3,False,False,Low,8.54000000000002,Medium,Low,0
,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726.0,5,3,False,False,Medium,8.170000000000016,Medium,Low,0
,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689.0,6,3,False,False,High,7.590000000000032,Medium,Low,0
,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990.0,7,3,False,True,High,7.420000000000016,Medium,Low,0
,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985.0,8,3,False,True,High,8.710000000000036,Medium,Low,0
,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309.0,9,3,False,True,High,11.830000000000041,Medium,Low,0
,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603.0,10,3,False,False,Medium,16.03000000000003,Low,Low,0
,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884.0,11,3,False,False,High,18.400000000000034,Low,Low,0
,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104.0,12,3,False,False,High,21.82000000000005,Low,Low,0
,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178.0,13,3,False,False,High,23.230000000000018,Medium,Low,0
,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501.0,14,3,False,False,High,24.170000000000016,Medium,Low,0
,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713.0,15,3,False,False,High,25.02000000000004,Medium,Low,0
,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292.0,16,3,False,True,High,24.910000000000025,Medium,Low,0
,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057.0,17,3,False,True,High,24.52000000000004,Medium,Low,0
,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907.0,18,3,False,True,High,23.210000000000036,Medium,Low,0
,293.85,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 19:00:00,3503.0,19,3,False,False,Medium,20.700000000000045,Low,Low,0
,292.43,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 20:00:00,3037.0,20,3,False,False,Medium,19.28000000000003,Low,Low,0
,291.77,0.0,0.0,75,Clouds,broken clouds,2012-10-04 21:00:00,2822.0,21,3,False,False,Medium,18.620000000000005,Low,Low,0
,291.36,0.0,0.0,75,Clouds,broken clouds,2012-10-04 22:00:00,1992.0,22,3,False,False,Low,18.210000000000036,Low,Low,0
,291.12,0.0,0.0,75,Clouds,broken clouds,2012-10-04 23:00:00,1166.0,23,3,False,False,Low,17.970000000000027,Low,Low,0
,290.63,0.0,0.0,75,Clouds,broken clouds,2012-10-05 00:00:00,627.0,0,4,False,False,Low,17.480000000000018,Low,Low,0
,290.46,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 01:00:00,388.0,1,4,False,False,Low,17.310000000000002,Low,Low,0
,289.26,0.0,0.0,0,Clear,sky is clear,2012-10-05 03:00:00,368.0,3,4,False,False,Low,16.110000000000014,Low,Low,0
,283.21,0.0,0.0,75,Clouds,broken clouds,2012-10-05 05:00:00,2489.0,5,4,False,False,Medium,10.060000000000002,Medium,Low,0
,282.24,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 06:00:00,5537.0,6,4,False,False,High,9.090000000000032,Medium,Low,0
,281.69,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 07:00:00,6628.0,7,4,False,True,High,8.54000000000002,Medium,Low,0
,280.57,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 08:00:00,5534.0,8,4,False,True,High,7.420000000000016,Medium,Low,0
,280.02,0.0,0.0,75,Clouds,broken clouds,2012-10-05 09:00:00,5403.0,9,4,False,True,High,6.8700000000000045,Medium,Low,0
,280.11,0.0,0.0,75,Clouds,broken clouds,2012-10-05 10:00:00,4770.0,10,4,False,False,High,6.960000000000036,Medium,Low,0
,280.0,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 11:00:00,5217.0,11,4,False,False,High,6.850000000000023,Medium,Low,0
,280.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 12:00:00,5870.0,12,4,False,False,High,7.3799999999999955,Medium,Low,0
,281.43,0.0,0.0,75,Clouds,broken clouds,2012-10-05 13:00:00,5967.0,13,4,False,False,High,8.28000000000003,Medium,Low,0
,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 14:00:00,6108.0,14,4,False,False,High,8.629999999999995,Medium,Low,0
,281.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 15:00:00,6128.0,15,4,False,False,High,8.760000000000048,Medium,Low,0
,281.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 16:00:00,6069.0,16,4,False,True,High,8.580000000000041,Medium,Low,0
,281.42,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 17:00:00,6169.0,17,4,False,True,High,8.270000000000039,Medium,Low,0
,280.87,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 18:00:00,5384.0,18,4,False,True,High,7.720000000000027,Medium,Low,0
,280.15,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 19:00:00,4063.0,19,4,False,False,Medium,7.0,Medium,Low,0
,279.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-05 20:00:00,3364.0,20,4,False,False,Medium,6.6299999999999955,Medium,Low,0
,279.65,0.0,0.0,75,Clouds,broken clouds,2012-10-05 21:00:00,2971.0,21,4,False,False,Medium,6.5,Medium,Low,0
,279.22,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 22:00:00,2450.0,22,4,False,False,Medium,6.07000000000005,Medium,Low,0
,279.06,0.0,0.0,40,Clouds,scattered clouds,2012-10-05 23:00:00,1832.0,23,4,False,False,Low,5.910000000000025,Medium,Low,0
,278.81,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 00:00:00,1231.0,0,5,True,False,Low,5.660000000000025,Medium,Low,0
,278.55,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 01:00:00,718.0,1,5,True,False,Low,5.400000000000034,Medium,Low,0
,278.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 02:00:00,545.0,2,5,True,False,Low,5.439999999999998,Medium,Low,0
,276.99,0.0,0.0,75,Clouds,broken clouds,2012-10-06 04:00:00,411.0,4,5,True,False,Low,3.840000000000032,High,Low,0
,276.35,0.0,0.0,20,Clouds,few clouds,2012-10-06 05:00:00,688.0,5,5,True,False,Low,3.2000000000000455,High,Low,0
,275.4,0.0,0.0,1,Clear,sky is clear,2012-10-06 06:00:00,1352.0,6,5,True,False,Low,2.25,High,Low,0
,275.17,0.0,0.0,1,Clear,sky is clear,2012-10-06 07:00:00,2072.0,7,5,True,False,Low,2.0200000000000387,High,Low,0
,274.99,0.0,0.0,1,Clear,sky is clear,2012-10-06 08:00:00,3342.0,8,5,True,False,Medium,1.8400000000000318,High,Low,0
,275.09,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 09:00:00,4258.0,9,5,True,False,Medium,1.9399999999999977,High,Low,0
,276.88,0.0,0.0,20,Clouds,few clouds,2012-10-06 10:00:00,4861.0,10,5,True,False,High,3.730000000000018,High,Low,0
,278.04,0.0,0.0,20,Clouds,few clouds,2012-10-06 11:00:00,5191.0,11,5,True,False,High,4.890000000000043,High,Low,0
,279.08,0.0,0.0,40,Clouds,scattered clouds,2012-10-06 12:00:00,5669.0,12,5,True,False,High,5.930000000000007,Medium,Low,0
,280.12,0.0,0.0,75,Clouds,broken clouds,2012-10-06 13:00:00,5074.0,13,5,True,False,High,6.970000000000027,Medium,Low,0
,280.25,0.0,0.0,75,Clouds,broken clouds,2012-10-06 14:00:00,5025.0,14,5,True,False,High,7.100000000000023,Medium,Low,0
,280.0,0.0,0.0,75,Clouds,broken clouds,2012-10-06 15:00:00,5153.0,15,5,True,False,High,6.850000000000023,Medium,Low,0
,279.06,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 16:00:00,5024.0,16,5,True,False,High,5.910000000000025,Medium,Low,0
,278.91,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 17:00:00,4779.0,17,5,True,False,High,5.760000000000048,Medium,Low,0
,278.39,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 18:00:00,4362.0,18,5,True,False,Medium,5.240000000000009,Medium,Low,0
,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 19:00:00,3860.0,19,5,True,False,Medium,5.010000000000048,Medium,Low,0
,278.16,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 20:00:00,3160.0,20,5,True,False,Medium,5.010000000000048,Medium,Low,0
,277.93,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 21:00:00,2992.0,21,5,True,False,Medium,4.78000000000003,High,Low,0
,276.9,0.0,0.0,90,Clouds,overcast clouds,2012-10-06 22:00:00,3202.0,22,5,True,False,Medium,3.75,High,Low,0
,276.34,0.0,0.0,75,Clouds,broken clouds,2012-10-06 23:00:00,1941.0,23,5,True,False,Low,3.1899999999999977,High,Low,0
,276.11,0.0,0.0,75,Clouds,broken clouds,2012-10-07 00:00:00,1233.0,0,6,True,False,Low,2.9600000000000364,High,Low,0
,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 03:00:00,323.0,3,6,True,False,Low,2.580000000000041,High,Low,0
,275.65,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 04:00:00,312.0,4,6,True,False,Low,2.5,High,Low,0
,275.51,0.0,0.0,75,Clouds,broken clouds,2012-10-07 05:00:00,627.0,5,6,True,False,Low,2.3600000000000136,High,Low,0
,275.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 06:00:00,1508.0,6,6,True,False,Low,1.900000000000034,High,Low,0
,274.77,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 07:00:00,1539.0,7,6,True,False,Low,1.6200000000000045,High,Low,0
,274.77,0.0,0.0,75,Clouds,broken clouds,2012-10-07 08:00:00,2232.0,8,6,True,False,Medium,1.6200000000000045,High,Low,0
,275.55,0.0,0.0,75,Clouds,broken clouds,2012-10-07 09:00:00,4568.0,9,6,True,False,Medium,2.400000000000034,High,Low,0
,276.24,0.0,0.0,75,Clouds,broken clouds,2012-10-07 10:00:00,4624.0,10,6,True,False,Medium,3.090000000000032,High,Low,0
,277.01,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 11:00:00,4529.0,11,6,True,False,Medium,3.8600000000000136,High,Low,0
,277.43,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 12:00:00,5139.0,12,6,True,False,High,4.28000000000003,High,Low,0
,278.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 13:00:00,6640.0,13,6,True,False,High,5.300000000000011,Medium,Low,0
,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 14:00:00,6589.0,14,6,True,False,High,6.1200000000000045,Medium,Low,0
,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 15:00:00,4429.0,15,6,True,False,Medium,6.1200000000000045,Medium,Low,0
,279.44,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 16:00:00,4329.0,16,6,True,False,Medium,6.2900000000000205,Medium,Low,0
,279.32,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 17:00:00,3833.0,17,6,True,False,Medium,6.170000000000016,Medium,Low,0
,279.27,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 18:00:00,4015.0,18,6,True,False,Medium,6.1200000000000045,Medium,Low,0
,278.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 19:00:00,3382.0,19,6,True,False,Medium,4.960000000000036,High,Low,0
,276.79,0.0,0.0,75,Clouds,broken clouds,2012-10-07 20:00:00,2815.0,20,6,True,False,Medium,3.640000000000043,High,Low,0
,275.73,0.0,0.0,90,Clouds,overcast clouds,2012-10-07 21:00:00,2110.0,21,6,True,False,Low,2.580000000000041,High,Low,0
,274.88,0.0,0.0,75,Clouds,broken clouds,2012-10-07 22:00:00,1555.0,22,6,True,False,Low,1.7300000000000182,High,Low,0
,273.92,0.0,0.0,20,Clouds,few clouds,2012-10-07 23:00:00,959.0,23,6,True,False,Low,0.7700000000000387,High,Low,0
Columbus Day,273.08,0.0,0.0,20,Clouds,few clouds,2012-10-08 00:00:00,455.0,0,0,False,False,Low,-0.06999999999999318,High,Low,1
,272.62,0.0,0.0,20,Clouds,few clouds,2012-10-08 01:00:00,336.0,1,0,False,False,Low,-0.5299999999999727,High,Low,0
,271.78,0.0,0.0,1,Clear,sky is clear,2012-10-08 02:00:00,265.0,2,0,False,False,Low,-1.3700000000000045,High,Low,0
,271.05,0.0,0.0,1,Clear,sky is clear,2012-10-08 03:00:00,314.0,3,0,False,False,Low,-2.099999999999966,High,Low,0
,270.63,0.0,0.0,1,Clear,sky is clear,2012-10-08 04:00:00,779.0,4,0,False,False,Low,-2.519999999999982,High,Low,0
,270.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 05:00:00,2571.0,5,0,False,False,Medium,-2.819999999999993,High,Low,0
,269.61,0.0,0.0,20,Clouds,few clouds,2012-10-08 06:00:00,5563.0,6,0,False,False,High,-3.5399999999999636,High,Low,0
,270.01,0.0,0.0,20,Clouds,few clouds,2012-10-08 07:00:00,6676.0,7,0,False,True,High,-3.1399999999999864,High,Low,0
,271.23,0.0,0.0,20,Clouds,few clouds,2012-10-08 08:00:00,5966.0,8,0,False,True,High,-1.919999999999959,High,Low,0
,273.71,0.0,0.0,20,Clouds,few clouds,2012-10-08 09:00:00,4832.0,9,0,False,True,High,0.5600000000000023,High,Low,0
,276.77,0.0,0.0,20,Clouds,few clouds,2012-10-08 10:00:00,4395.0,10,0,False,False,Medium,3.6200000000000045,High,Low,0
,279.47,0.0,0.0,20,Clouds,few clouds,2012-10-08 11:00:00,4411.0,11,0,False,False,Medium,6.32000000000005,Medium,Low,0
,279.84,0.0,0.0,1,Clear,sky is clear,2012-10-08 12:00:00,4648.0,12,0,False,False,Medium,6.689999999999998,Medium,Low,0
,282.34,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 13:00:00,4602.0,13,0,False,False,Medium,9.189999999999998,Medium,Low,0
,282.94,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 14:00:00,5125.0,14,0,False,False,High,9.79000000000002,Medium,Low,0
,283.48,0.0,0.0,1,Clear,sky is clear,2012-10-08 15:00:00,5502.0,15,0,False,False,High,10.330000000000041,Medium,Low,0
,284.33,0.0,0.0,1,Clear,sky is clear,2012-10-08 16:00:00,5979.0,16,0,False,True,High,11.180000000000007,Medium,Low,0
,284.48,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 17:00:00,5663.0,17,0,False,True,High,11.330000000000041,Medium,Low,0
,284.23,0.0,0.0,40,Clouds,scattered clouds,2012-10-08 18:00:00,4259.0,18,0,False,True,Medium,11.080000000000041,Medium,Low,0
,281.99,0.0,0.0,20,Clouds,few clouds,2012-10-08 19:00:00,3069.0,19,0,False,False,Medium,8.840000000000032,Medium,Low,0
,279.81,0.0,0.0,1,Clear,sky is clear,2012-10-08 20:00:00,2378.0,20,0,False,False,Medium,6.660000000000025,Medium,Low,0
,279.35,0.0,0.0,1,Clear,sky is clear,2012-10-08 21:00:00,2030.0,21,0,False,False,Low,6.2000000000000455,Medium,Low,0
,278.9,0.0,0.0,1,Clear,sky is clear,2012-10-08 22:00:00,1400.0,22,0,False,False,Low,5.75,Medium,Low,0
,278.46,0.0,0.0,1,Clear,sky is clear,2012-10-08 23:00:00,917.0,23,0,False,False,Low,5.310000000000002,Medium,Low,0
,277.78,0.0,0.0,1,Clear,sky is clear,2012-10-09 00:00:00,515.0,0,1,False,False,Low,4.6299999999999955,High,Low,0
,277.27,0.0,0.0,1,Clear,sky is clear,2012-10-09 01:00:00,302.0,1,1,False,False,Low,4.1200000000000045,High,Low,0
,277.47,0.0,0.0,1,Clear,sky is clear,2012-10-09 02:00:00,251.0,2,1,False,False,Low,4.32000000000005,High,Low,0
,276.97,0.0,0.0,20,Clouds,few clouds,2012-10-09 04:00:00,798.0,4,1,False,False,Low,3.82000000000005,High,Low,0
,276.52,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 05:00:00,2678.0,5,1,False,False,Medium,3.3700000000000045,High,Low,0
,276.6,0.0,0.0,40,Clouds,scattered clouds,2012-10-09 06:00:00,5733.0,6,1,False,False,High,3.4500000000000455,High,Low,0
,277.31,0.0,0.0,75,Clouds,broken clouds,2012-10-09 07:00:00,6449.0,7,1,False,True,High,4.160000000000025,High,Low,0
,278.38,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 08:00:00,5765.0,8,1,False,True,High,5.230000000000018,Medium,Low,0
,279.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 09:00:00,5599.0,9,1,False,True,High,6.2000000000000455,Medium,Low,0
,281.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 10:00:00,4534.0,10,1,False,False,Medium,8.220000000000027,Medium,Low,0
,283.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 11:00:00,4691.0,11,1,False,False,High,9.960000000000036,Medium,Low,0
,284.08,0.0,0.0,75,Clouds,broken clouds,2012-10-09 12:00:00,5067.0,12,1,False,False,High,10.930000000000007,Medium,Low,0
,285.14,0.0,0.0,75,Clouds,broken clouds,2012-10-09 13:00:00,5030.0,13,1,False,False,High,11.990000000000009,Medium,Low,0
,286.35,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 14:00:00,5300.0,14,1,False,False,High,13.200000000000045,Medium,Low,0
,287.23,0.0,0.0,100,Rain,light rain,2012-10-09 15:00:00,5777.0,15,1,False,False,High,14.080000000000041,Medium,Low,0
,288.53,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 16:00:00,6349.0,16,1,False,True,High,15.379999999999995,Low,Low,0
,290.37,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 17:00:00,6127.0,17,1,False,True,High,17.220000000000027,Low,Low,0
,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 18:00:00,4460.0,18,1,False,True,Medium,16.980000000000018,Low,Low,0
,288.86,0.0,0.0,75,Clouds,broken clouds,2012-10-09 19:00:00,3418.0,19,1,False,False,Medium,15.710000000000036,Low,Low,0
,287.36,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 20:00:00,2775.0,20,1,False,False,Medium,14.210000000000036,Medium,Low,0
,285.11,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 21:00:00,2306.0,21,1,False,False,Medium,11.960000000000036,Medium,Low,0
,283.46,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 22:00:00,1846.0,22,1,False,False,Low,10.310000000000002,Medium,Low,0
,282.45,0.0,0.0,90,Clouds,overcast clouds,2012-10-09 23:00:00,947.0,23,1,False,False,Low,9.300000000000011,Medium,Low,0
,281.88,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 00:00:00,494.0,0,2,False,False,Low,8.730000000000018,Medium,Low,0
,281.78,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 01:00:00,332.0,1,2,False,False,Low,8.629999999999995,Medium,Low,0
,281.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 02:00:00,261.0,2,2,False,False,Low,7.939999999999998,Medium,Low,0
,281.17,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 03:00:00,361.0,3,2,False,False,Low,8.020000000000039,Medium,Low,0
,281.25,0.0,0.0,92,Clear,sky is clear,2012-10-10 06:00:00,5875.0,6,2,False,False,High,8.100000000000023,Medium,Low,0
,281.25,0.0,0.0,99,Rain,light rain,2012-10-10 07:00:00,6793.0,7,2,False,True,High,8.100000000000023,Medium,Low,0
,281.25,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 07:00:00,6793.0,7,2,False,True,High,8.100000000000023,Medium,Low,0
,280.1,0.0,0.0,99,Rain,light rain,2012-10-10 08:00:00,6283.0,8,2,False,True,High,6.9500000000000455,Medium,Low,0
,280.1,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 08:00:00,6283.0,8,2,False,True,High,6.9500000000000455,Medium,Low,0
,279.61,0.0,0.0,99,Rain,light rain,2012-10-10 09:00:00,5680.0,9,2,False,True,High,6.460000000000036,Medium,Low,0
,279.61,0.0,0.0,99,Drizzle,light intensity drizzle,2012-10-10 09:00:00,5680.0,9,2,False,True,High,6.460000000000036,Medium,Low,0
,279.67,0.0,0.0,99,Clear,sky is clear,2012-10-10 10:00:00,4632.0,10,2,False,False,Medium,6.520000000000039,Medium,Low,0
,280.19,0.0,0.0,1,Clear,sky is clear,2012-10-10 11:00:00,4887.0,11,2,False,False,High,7.0400000000000205,Medium,Low,0
,282.09,0.0,0.0,75,Clouds,broken clouds,2012-10-10 12:00:00,5030.0,12,2,False,False,High,8.939999999999998,Medium,Low,0
,282.26,0.0,0.0,75,Clouds,broken clouds,2012-10-10 13:00:00,5067.0,13,2,False,False,High,9.110000000000014,Medium,Low,0
,282.05,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 14:00:00,5227.0,14,2,False,False,High,8.900000000000034,Medium,Low,0
,281.59,0.0,0.0,90,Clouds,overcast clouds,2012-10-10 15:00:00,5610.0,15,2,False,False,High,8.439999999999998,Medium,Low,0
,281.23,0.0,0.0,81,Clear,sky is clear,2012-10-10 16:00:00,6286.0,16,2,False,True,High,8.080000000000041,Medium,Low,0
,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 18:00:00,4775.0,18,2,False,True,High,9.450000000000045,Medium,Low,0
,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 19:00:00,3340.0,19,2,False,False,Medium,9.450000000000045,Medium,Low,0
,282.6,0.0,0.0,81,Clear,sky is clear,2012-10-10 20:00:00,3013.0,20,2,False,False,Medium,9.450000000000045,Medium,Low,0
